key,value
United States,2.05E+13
China,1.36E+13
Japan,4.97E+12
Germany,4E+12
United Kingdom,2.83E+12
France,2.78E+12
India,2.73E+12
Italy,2.07E+12
Brazil,1.87E+12
Canada,1.71E+12
Russian Federation,1.66E+12
"Korea, Rep.",1.62E+12
Australia,1.43E+12
Spain,1.43E+12
Mexico,1.22E+12
Indonesia,1.04E+12
Netherlands,9.14E+11
Saudi Arabia,7.82E+11
Turkey,7.67E+11
Switzerland,7.06E+11
Poland,5.86E+11
Sweden,5.51E+11
Belgium,5.32E+11
Argentina,5.18E+11
Thailand,5.05E+11
Austria,4.56E+11
Norway,4.35E+11
United Arab Emirates,4.14E+11
Nigeria,3.97E+11
