country,GDP
United States,20500000000000
China,13600000000000
Japan,4970000000000
Germany,4000000000000
United Kingdom,2830000000000
France,2780000000000
India,2730000000000
Italy,2070000000000
Brazil,1870000000000
Canada,1710000000000
Russian Federation,1660000000000
"Korea, Rep.",1620000000000
Australia,1430000000000
Spain,1430000000000
Mexico,1220000000000
Indonesia,1040000000000
Netherlands,914000000000
Saudi Arabia,782000000000
Turkey,767000000000
Switzerland,706000000000
Poland,586000000000
Sweden,551000000000
Belgium,532000000000
Argentina,518000000000
Thailand,505000000000
Austria,456000000000
Norway,435000000000
United Arab Emirates,414000000000
Nigeria,397000000000
Ireland,382000000000
Israel,370000000000
South Africa,368000000000
Singapore,364000000000
"Hong Kong SAR, China",363000000000
Malaysia,354000000000
Denmark,352000000000
Philippines,331000000000
Colombia,330000000000
Pakistan,313000000000
Chile,298000000000
Bangladesh,274000000000
Finland,274000000000
"Egypt, Arab Rep.",251000000000
Czech Republic,245000000000
Vietnam,245000000000
Romania,240000000000
Portugal,238000000000
Iraq,226000000000
Peru,222000000000
Greece,218000000000
New Zealand,205000000000
Qatar,192000000000
Algeria,181000000000
Kazakhstan,171000000000
Hungary,156000000000
Kuwait,142000000000
Ukraine,131000000000
Morocco,118000000000
Ecuador,108000000000
Angola,106000000000
Slovak Republic,106000000000
Puerto Rico,101000000000
Sri Lanka,88900770858
Kenya,87908262520
Ethiopia,84355462494
Dominican Republic,81298585403
Oman,79294928479
Guatemala,78460447920
Caribbean small states,72930271173
Myanmar,71214803378
Luxembourg,69487922619
Ghana,65556464056
Bulgaria,65132951116
Panama,65055100000
Croatia,60805659436
Costa Rica,60126014829
Belarus,59662495092
Uruguay,59596885024
Tanzania,57437073927
Lebanon,56639155556
"Macao SAR, China",54545184268
Slovenia,54235484383
Lithuania,53251369047
Serbia,50508366850
Uzbekistan,50499920318
Libya,48319620013
"Congo, Dem. Rep.",47227535291
Azerbaijan,46939529412
Cote d'Ivoire,43007045466
Jordan,42290832158
Sudan,40851536134
Paraguay,40842341774
Turkmenistan,40761142857
Bolivia,40287647757
Tunisia,39860715814
Cameroon,38502059858
Bahrain,37746196809
Latvia,34849078086
Zimbabwe,31000519447
Estonia,30284890757
Nepal,28812491892
Uganda,27476945526
"Yemen, Rep.",26914402224
Zambia,26720073436
El Salvador,26056950000
Iceland,25882218777
Cambodia,24571753583
Cyprus,24469841832
Senegal,24129599552
Honduras,23803230473
Papua New Guinea,23431596214
Trinidad and Tobago,23410353435
Bosnia and Herzegovina,19781776101
Afghanistan,19362969582
Botswana,18616018903
Lao PDR,18130724396
Mali,17196688920
Gabon,17017401832
Georgia,16209818081
Jamaica,15717858487
Albania,15058879129
West Bank and Gaza,14615900000
Malta,14542039605
Namibia,14521711630
Mozambique,14457964381
Burkina Faso,14441763759
Mauritius,14220348673
Brunei Darussalam,13567099498
Equatorial Guinea,13317453070
Nicaragua,13117859222
Mongolia,13009574621
North Macedonia,12672131053
Armenia,12433089919
Madagascar,12100459087
Moldova,11309082555
Chad,11302544205
"Congo, Rep.",11263682694
Guinea,10989790256
Benin,10358985583
Pacific island small states,10302802236
Haiti,9658084644
Rwanda,9509003197
Niger,9239513530
Kyrgyz Republic,8092836609
Kosovo,7900268736
Tajikistan,7522947810
Malawi,7064971176
Fiji,5479504926
Montenegro,5452173041
Mauritania,5365868725
Togo,5300214337
Maldives,5272288443
Somalia,4721000393
Eswatini,4703787507
Sierra Leone,3999945202
Guyana,3610435299
Suriname,3427269682
Liberia,3249000000
Andorra,3236543909
Burundi,3078029929
Lesotho,2791762880
Timor-Leste,2581000000
Bhutan,2534965163
Central African Republic,2379716827
Cabo Verde,1986928612
Djibouti,1965982322
Belize,1925000000
St. Lucia,1876189778
"Gambia, The",1624464137
Antigua and Barbuda,1623804016
Seychelles,1590180446
Guinea-Bissau,1458156026
Solomon Islands,1411904531
Grenada,1207454556
Comoros,1203080508
St. Kitts and Nevis,1039875050
Turks and Caicos Islands,1022312010
Vanuatu,887817896
Samoa,861494701
St. Vincent and the Grenadines,813093984
Dominica,503646211
Tonga,450353314
Sao Tome and Principe,422296762
"Micronesia, Fed. Sts.",344501760
Palau,310111145
Marshall Islands,211523642
Kiribati,188284519
Nauru,114718023
Tuvalu,42587778
