"""region""","""subregion""","""key""","""value"""
Latin America & Caribbean,ABW,Aruba,
"""South Asia""","""AFG""","""Afghanistan""",19362969582
Sub-Saharan Africa,AGO,Angola,1;06E+11
Europe & Central Asia,ALB,Albania,15058879129
Europe & Central Asia,AND,Andorra,3236543909
,ARB,Arab World,2;78E+12
Middle East & North Africa,ARE,United Arab Emirates,4;14E+11
Latin America & Caribbean,ARG,Argentina,5;18E+11
Europe & Central Asia,ARM,Armenia,12433089919
East Asia & Pacific,ASM,American Samoa,
Latin America & Caribbean,ATG,Antigua and Barbuda,1623804016
East Asia & Pacific,AUS,Australia,1;43E+12
Europe & Central Asia,AUT,Austria,4;56E+11
Europe & Central Asia,AZE,Azerbaijan,46939529412
Sub-Saharan Africa,BDI,Burundi,3078029929
Europe & Central Asia,BEL,Belgium,5;32E+11
Sub-Saharan Africa,BEN,Benin,10358985583
Sub-Saharan Africa,BFA,Burkina Faso,14441763759
South Asia,BGD,Bangladesh,2;74E+11
Europe & Central Asia,BGR,Bulgaria,65132951116
Middle East & North Africa,BHR,Bahrain,37746196809
Latin America & Caribbean,BHS,"Bahamas, The",
Europe & Central Asia,BIH,Bosnia and Herzegovina,19781776101
Europe & Central Asia,BLR,Belarus,59662495092
Latin America & Caribbean,BLZ,Belize,1925000000
North America,BMU,Bermuda,
Latin America & Caribbean,BOL,Bolivia,40287647757
Latin America & Caribbean,BRA,Brazil,1;87E+12
Latin America & Caribbean,BRB,Barbados,
East Asia & Pacific,BRN,Brunei Darussalam,13567099498
South Asia,BTN,Bhutan,2534965163
Sub-Saharan Africa,BWA,Botswana,18616018903
Sub-Saharan Africa,CAF,Central African Republic,2379716827
North America,CAN,Canada,1;71E+12
,CEB,Central Europe and the Baltics,1;63E+12
Europe & Central Asia,CHE,Switzerland,7;06E+11
Europe & Central Asia,CHI,Channel Islands,
Latin America & Caribbean,CHL,Chile,2;98E+11
East Asia & Pacific,CHN,China,1;36E+13
Sub-Saharan Africa,CIV,Cote d'Ivoire,43007045466
Sub-Saharan Africa,CMR,Cameroon,38502059858
Sub-Saharan Africa,COD,"Congo, Dem. Rep.",47227535291
Sub-Saharan Africa,COG,"Congo, Rep.",11263682694
Latin America & Caribbean,COL,Colombia,3;3E+11
Sub-Saharan Africa,COM,Comoros,1203080508
Sub-Saharan Africa,CPV,Cabo Verde,1986928612
Latin America & Caribbean,CRI,Costa Rica,60126014829
,CSS,Caribbean small states,72930271173
Latin America & Caribbean,CUB,Cuba,
Latin America & Caribbean,CUW,Curacao,
Latin America & Caribbean,CYM,Cayman Islands,
Europe & Central Asia,CYP,Cyprus,24469841832
Europe & Central Asia,CZE,Czech Republic,2;45E+11
Europe & Central Asia,DEU,Germany,4E+12
Middle East & North Africa,DJI,Djibouti,1965982322
Latin America & Caribbean,DMA,Dominica,503646211;1
Europe & Central Asia,DNK,Denmark,3;52E+11
Latin America & Caribbean,DOM,Dominican Republic,81298585403
Middle East & North Africa,DZA,Algeria,1;81E+11
,EAP,East Asia & Pacific (excluding high income),1;63E+13
,EAR,Early-demographic dividend,1;16E+13
,EAS,East Asia & Pacific,2;59E+13
,ECA,Europe & Central Asia (excluding high income),3;39E+12
,ECS,Europe & Central Asia,2;3E+13
