country,GDP
Afghanistan,19362969582
Angola,106000000000
Albania,15058879129
Andorra,3236543909
Arab World,2780000000000
United Arab Emirates,414000000000
Argentina,518000000000
Armenia,12433089919
Antigua and Barbuda,1623804016
Australia,1430000000000
Austria,456000000000
Azerbaijan,46939529412
Burundi,3078029929
Belgium,532000000000
Benin,10358985583
Burkina Faso,14441763759
Bangladesh,274000000000
Bulgaria,65132951116
Bahrain,37746196809
Bosnia and Herzegovina,19781776101
Belarus,59662495092
Belize,1925000000
Bolivia,40287647757
Brazil,1870000000000
Brunei Darussalam,13567099498
Bhutan,2534965163
Botswana,18616018903
Central African Republic,2379716827
Canada,1710000000000
Central Europe and the Baltics,1630000000000
Switzerland,706000000000
Chile,298000000000
China,13600000000000
Cote d'Ivoire,43007045466
Cameroon,38502059858
"Congo, Dem. Rep.",47227535291
"Congo, Rep.",11263682694
Colombia,330000000000
Comoros,1203080508
Cabo Verde,1986928612
Costa Rica,60126014829
Caribbean small states,72930271173
Cyprus,24469841832
Czech Republic,245000000000
Germany,4000000000000
Djibouti,1965982322
Dominica,503646211
Denmark,352000000000
Dominican Republic,81298585403
Algeria,181000000000
East Asia & Pacific (excluding high income),16300000000000
Early-demographic dividend,11600000000000
East Asia & Pacific,25900000000000
Europe & Central Asia (excluding high income),3390000000000
Europe & Central Asia,23000000000000
Ecuador,108000000000
"Egypt, Arab Rep.",251000000000
Euro area,13700000000000
Spain,1430000000000
Estonia,30284890757
Ethiopia,84355462494
European Union,18800000000000
Fragile and conflict affected situations,832000000000
Finland,274000000000
Fiji,5479504926
France,2780000000000
"Micronesia, Fed. Sts.",344501760
Gabon,17017401832
United Kingdom,2830000000000
Georgia,16209818081
Ghana,65556464056
Guinea,10989790256
"Gambia, The",1624464137
Guinea-Bissau,1458156026
Equatorial Guinea,13317453070
Greece,218000000000
Grenada,1207454556
Guatemala,78460447920
Guyana,3610435299
High income,54100000000000
"Hong Kong SAR, China",363000000000
Honduras,23803230473
Heavily indebted poor countries (HIPC),727000000000
Croatia,60805659436
Haiti,9658084644
Hungary,156000000000
IBRD only,30500000000000
IDA & IBRD total,32700000000000
IDA total,2210000000000
IDA blend,991000000000
Indonesia,1040000000000
IDA only,1220000000000
India,2730000000000
Ireland,382000000000
Iraq,226000000000
Iceland,25882218777
Israel,370000000000
Italy,2070000000000
Jamaica,15717858487
Jordan,42290832158
Japan,4970000000000
Kazakhstan,171000000000
Kenya,87908262520
Kyrgyz Republic,8092836609
Cambodia,24571753583
Kiribati,188284519
St. Kitts and Nevis,1039875050
"Korea, Rep.",1620000000000
Kuwait,142000000000
Latin America & Caribbean (excluding high income),5190000000000
Lao PDR,18130724396
Lebanon,56639155556
Liberia,3249000000
Libya,48319620013
St. Lucia,1876189778
Latin America & Caribbean,5790000000000
Least developed countries: UN classification,1050000000000
Low income,573000000000
Sri Lanka,88900770858
Lower middle income,6710000000000
Low & middle income,31700000000000
Lesotho,2791762880
Late-demographic dividend,22200000000000
Lithuania,53251369047
Luxembourg,69487922619
Latvia,34849078086
"Macao SAR, China",54545184268
Morocco,118000000000
Moldova,11309082555
Madagascar,12100459087
Maldives,5272288443
Middle East & North Africa,3620000000000
Mexico,1220000000000
Marshall Islands,211523642
Middle income,31100000000000
North Macedonia,12672131053
Mali,17196688920
Malta,14542039605
Myanmar,71214803378
Montenegro,5452173041
Mongolia,13009574621
Mozambique,14457964381
Mauritania,5365868725
Mauritius,14220348673
Malawi,7064971176
Malaysia,354000000000
North America,22200000000000
Namibia,14521711630
Niger,9239513530
Nigeria,397000000000
Nicaragua,13117859222
Netherlands,914000000000
Norway,435000000000
Nepal,28812491892
Nauru,114718023
New Zealand,205000000000
OECD members,52600000000000
Oman,79294928479
Other small states,452000000000
Pakistan,313000000000
Panama,65055100000
Peru,222000000000
Philippines,331000000000
Palau,310111145
Papua New Guinea,23431596214
Poland,586000000000
Pre-demographic dividend,1310000000000
Puerto Rico,101000000000
Portugal,238000000000
Paraguay,40842341774
West Bank and Gaza,14615900000
Pacific island small states,10302802236
Post-demographic dividend,50000000000000
Qatar,192000000000
Romania,240000000000
Russian Federation,1660000000000
Rwanda,9509003197
South Asia,3460000000000
Saudi Arabia,782000000000
Sudan,40851536134
Senegal,24129599552
Singapore,364000000000
Solomon Islands,1411904531
Sierra Leone,3999945202
El Salvador,26056950000
Somalia,4721000393
Serbia,50508366850
Sub-Saharan Africa (excluding high income),1700000000000
Sub-Saharan Africa,1700000000000
Small states,536000000000
Sao Tome and Principe,422296762
Suriname,3427269682
Slovak Republic,106000000000
Slovenia,54235484383
Sweden,551000000000
Eswatini,4703787507
Seychelles,1590180446
Turks and Caicos Islands,1022312010
Chad,11302544205
East Asia & Pacific (IDA & IBRD countries),16200000000000
Europe & Central Asia (IDA & IBRD countries),4040000000000
Togo,5300214337
Thailand,505000000000
Tajikistan,7522947810
Turkmenistan,40761142857
Latin America & the Caribbean (IDA & IBRD countries),5560000000000
Timor-Leste,2581000000
Tonga,450353314
South Asia (IDA & IBRD),3460000000000
Sub-Saharan Africa (IDA & IBRD countries),1700000000000
Trinidad and Tobago,23410353435
Tunisia,39860715814
Turkey,767000000000
Tuvalu,42587778
Tanzania,57437073927
Uganda,27476945526
Ukraine,131000000000
Upper middle income,24400000000000
Uruguay,59596885024
United States,20500000000000
Uzbekistan,50499920318
St. Vincent and the Grenadines,813093984
Vietnam,245000000000
Vanuatu,887817896
Samoa,861494701
Kosovo,7900268736
"Yemen, Rep.",26914402224
South Africa,368000000000
Zambia,26720073436
Zimbabwe,31000519447
